year	Antioquia	Bogota	Valle	Santander	Cundinamarca
2000	13.8	26.5	10.9	5.7	5.3
2001	13.7	26.8	10.9	6.0	5.4
2002	13.8	27.1	10.9	6.0	5.4
2003	13.6	26.8	10.7	6.2	5.5
2004	14.0	26.6	10.5	6.4	5.2
2005	13.9	26.6	10.2	6.8	5.2
2006	13.9	26.3	10.3	6.9	5.0
2007	13.9	26.2	10.4	7.1	5.0
2008	13.4	25.7	10.0	7.3	5.1
2009	13.4	26.2	10.2	6.9	5.2
2010	13.1	25.7	09.8	7.3	5.1
2011	13.0	24.6	09.3	7.5	5.1
2012	13.0	24.6	09.3	7.4	5.1
2013	13.0	24.7	09.2	7.4	5.1
2014	13.4	24.9	09.3	8.1	5.1
2015	13.8	25.6	09.6	7.9	5.2
2016	13.9	25.7	09.7	7.7	5.3