year	Andina	Pacifico	Caribe	Orinoquia	Amazonia
2000	3.78	3.50	1.79	1.55	0.18
2001	3.82	3.53	1.83	1.30	0.17
2002	3.82	3.55	1.81	1.28	0.15
2003	3.81	3.53	1.88	1.33	0.17
2004	3.82	3.48	1.91	1.23	0.15
2005	3.83	3.40	1.90	1.33	0.15
2006	3.82	3.43	2.79	1.35	0.15
2007	3.85	3.45	1.99	1.25	0.15
2008	3.85	3.33	1.93	1.55	0.17
2009	3.82	3.40	1.91	1.48	0.17
2010	3.78	3.33	1.88	1.70	0.18
2011	3.78	3.18	1.86	2.20	0.20
2012	3.76	3.20	1.88	2.25	0.18
2013	3.74	3.18	1.86	2.23	0.22
2014	3.88	3.20	1.83	1.90	0.22
2015	3.93	3.33	1.84	1.53	0.18
2016	3.93	3.38	1.91	1.33	0.18